Fiscal Year,Total Spending
2022,5617677
2021,5267661
2020,5785046
2019,5668823
2018,5480432
2017,5312163
2016,5075081
2015,4896335
2014,4669342
2013,4658350
2012,4631506
2011,4559496
2010,4420306
2009,4242508
2008,3940064
2007,3657778
2006,3627798
2005,3756724
2004,3429797
2003,3448353
2002,3578458
2001,3275052
2000,3085518
1999,2845151
1998,2595223
1997,2453043
1996,2325068
1995,2038648
1994,1838639
1993,1798517
1992,1688028
1991,1634790
1990,1621682
1989,1513082
1988,1436734
1987,1325463
1986,1189186
1985,1092200
1984,961629
1983,864317
1982,799111
1981,714051
1980,704175
